id,Age
74051,7.2648296
74052,7.6442122
74053,10.232039
74054,9.15862
74055,7.3874187
74056,12.455201
74057,10.991206
74058,7.9891872
74059,12.577981
74060,9.8965
74061,12.478177
74062,9.991992
74063,4.8569546
74064,11.841965
74065,5.4030952
74066,6.026221
74067,10.834914
74068,11.292979
74069,10.366067
74070,10.21834
74071,16.619663
74072,9.071823
74073,8.477207
74074,9.106013
74075,12.073329
74076,9.030421
74077,11.055398
74078,10.923987
74079,8.944933
74080,10.824464
74081,10.615839
74082,10.527112
74083,9.998033
74084,11.849016
74085,10.864018
74086,6.927419
74087,9.273791
74088,10.449403
74089,8.646927
74090,9.578632
74091,7.659007
74092,9.532136
74093,10.038451
74094,9.798057
74095,17.470356
74096,10.631879
74097,6.278894
74098,5.9195914
74099,14.722438
74100,9.9713125
74101,10.7056265
74102,9.281842
74103,11.650777
74104,9.786972
74105,8.295688
74106,11.322652
74107,9.458655
74108,5.4533143
74109,9.135587
74110,5.727116
74111,10.3995285
74112,6.690941
74113,8.31216
74114,10.421313
74115,8.946725
74116,9.774539
74117,12.916549
74118,10.522315
74119,8.56921
74120,15.37552
74121,10.026086
74122,6.679763
74123,11.523215
74124,5.1899123
74125,7.192016
74126,6.991751
74127,11.740972
74128,10.562844
74129,9.079978
74130,9.959054
74131,10.264379
74132,7.599087
74133,9.554502
74134,10.783977
74135,4.8569546
74136,6.4714866
74137,5.54452
74138,16.573298
74139,10.6325655
74140,13.824634
74141,9.149154
74142,10.843567
74143,14.489512
74144,14.686875
74145,10.561494
74146,7.6696496
74147,9.88134
74148,5.720641
74149,10.302053
74150,8.098639
74151,8.512659
74152,13.136075
74153,10.782523
74154,8.126173
74155,6.3391247
74156,11.392652
74157,10.670928
74158,12.345397
74159,9.824889
74160,12.534707
74161,10.473418
74162,9.328422
74163,9.599353
74164,9.572903
74165,10.042964
74166,8.853675
74167,10.740273
74168,10.089507
74169,11.733144
74170,10.158225
74171,12.393928
74172,11.539426
74173,7.743149
74174,11.348983
74175,9.445628
74176,9.249257
74177,10.552157
74178,11.304828
74179,12.873178
74180,5.597498
74181,8.423789
74182,9.75087
74183,7.2370696
74184,11.011088
74185,11.750972
74186,9.962507
74187,9.32113
74188,12.57858
74189,5.746781
74190,9.197516
74191,10.670843
74192,11.523356
74193,8.914885
74194,4.8569546
74195,11.356626
74196,11.65421
74197,10.075453
74198,6.7210693
74199,9.627786
74200,10.573728
74201,8.634032
74202,11.188449
74203,10.720363
74204,10.564054
74205,9.769279
74206,9.273953
74207,8.880363
74208,11.341836
74209,15.594628
74210,10.3813925
74211,7.1413493
74212,8.941739
74213,10.283484
74214,12.466422
74215,8.199405
74216,7.1741347
74217,16.289333
74218,11.085675
74219,8.185695
74220,14.716525
74221,7.930166
74222,10.043208
74223,9.622077
74224,8.915898
74225,10.395693
74226,9.749091
74227,11.106372
74228,4.8569546
74229,11.939506
74230,9.962546
74231,7.7841287
74232,10.378599
74233,6.333392
74234,9.873155
74235,11.4439535
74236,8.103165
74237,9.150062
74238,10.485078
74239,6.2515283
74240,7.4799275
74241,7.6468415
74242,12.997579
74243,9.944943
74244,6.67317
74245,10.3512535
74246,9.954666
74247,8.680453
74248,8.819428
74249,14.118817
74250,10.046964
74251,13.980271
74252,8.105279
74253,10.888328
74254,10.782098
74255,10.060391
74256,10.5181875
74257,12.027051
74258,4.8569546
74259,10.987504
74260,8.501851
74261,6.751476
74262,4.8569546
74263,10.891501
74264,10.375167
74265,11.260083
74266,8.15506
74267,11.04035
74268,6.567076
74269,7.386995
74270,8.477664
74271,10.667209
74272,16.798134
74273,6.687012
74274,13.207797
74275,8.74815
74276,7.6854963
