id,Age
74051,7.4614387
74052,7.710511
74053,10.6321535
74054,9.8336735
74055,7.4141183
74056,12.113486
74057,10.782643
74058,8.051932
74059,12.477487
74060,10.369011
74061,12.635308
74062,10.032156
74063,4.5030713
74064,11.879774
74065,5.3372602
74066,5.9952435
74067,10.566683
74068,11.549667
74069,10.660876
74070,10.047898
74071,16.808214
74072,9.422925
74073,8.544965
74074,8.872572
74075,11.551786
74076,9.401159
74077,13.040811
74078,10.999202
74079,9.022279
74080,10.876283
74081,10.798656
74082,10.720586
74083,10.216543
74084,12.443368
74085,11.127271
74086,7.0287566
74087,9.025826
74088,10.601334
74089,8.772468
74090,9.338831
74091,7.2848573
74092,9.510305
74093,10.287151
74094,9.608956
74095,17.317432
74096,11.398907
74097,6.418452
74098,5.806905
74099,13.718971
74100,10.026849
74101,11.005743
74102,9.116021
74103,10.453292
74104,9.725549
74105,8.497103
74106,10.867673
74107,9.440839
74108,5.25452
74109,9.348975
74110,5.6909432
74111,10.5197115
74112,6.7760577
74113,8.24499
74114,10.71239
74115,8.995906
74116,10.362044
74117,12.780738
74118,9.512559
74119,9.006274
74120,15.413751
74121,9.991612
74122,6.7069435
74123,11.183668
74124,4.9722104
74125,7.215503
74126,7.0718412
74127,10.945062
74128,10.514968
74129,9.2695265
74130,10.34901
74131,10.407674
74132,7.5685334
74133,9.939878
74134,10.87905
74135,4.7236075
74136,6.7011414
74137,5.4774113
74138,15.027668
74139,10.412337
74140,13.821124
74141,8.9957285
74142,10.5925
74143,14.407156
74144,13.428491
74145,10.704717
74146,7.80656
74147,9.4806
74148,5.662779
74149,10.3904705
74150,8.434621
74151,8.764286
74152,12.784877
74153,10.534745
74154,8.339905
74155,6.416074
74156,11.748412
74157,10.285249
74158,12.655753
74159,9.656458
74160,12.793331
74161,10.171996
74162,9.674661
74163,9.787608
74164,9.696045
74165,10.232048
74166,8.814001
74167,10.702601
74168,10.537011
74169,11.625989
74170,10.189979
74171,12.795781
74172,11.075338
74173,7.590308
74174,11.105729
74175,9.532635
74176,8.998781
74177,10.792534
74178,11.139194
74179,12.634251
74180,5.433782
74181,8.47808
74182,9.732017
74183,7.2520924
74184,11.200205
74185,12.231072
74186,9.635285
74187,9.387221
74188,12.37844
74189,5.7627783
74190,8.888671
74191,10.707026
74192,11.362786
74193,8.928622
74194,4.4863305
74195,11.283025
74196,11.236887
74197,10.004779
74198,6.884519
74199,9.257505
74200,10.605717
74201,8.690501
74202,11.471797
74203,10.743053
74204,10.609388
74205,9.777411
74206,9.198245
74207,9.017805
74208,11.548471
74209,14.759519
74210,10.233031
74211,7.275682
74212,9.068511
74213,10.666507
74214,12.606849
74215,8.142913
74216,7.246648
74217,14.949738
74218,11.430631
74219,8.061811
74220,13.833851
74221,7.9762497
74222,9.977534
74223,9.358722
74224,8.31475
74225,10.388896
74226,9.687173
74227,11.022902
74228,4.6808567
74229,11.722943
74230,10.607383
74231,7.7766776
74232,10.334338
74233,6.4187384
74234,10.23175
74235,11.397385
74236,8.1673
74237,8.702624
74238,10.474941
74239,6.3361864
74240,7.616298
74241,7.6674724
74242,12.888984
74243,10.16091
74244,6.846495
74245,10.445099
74246,10.023463
74247,8.741645
74248,8.542397
74249,14.394996
74250,11.269681
74251,13.959261
74252,8.123054
74253,10.9828825
74254,10.425828
74255,10.375958
74256,10.565606
74257,11.599612
74258,4.4390087
74259,11.086244
74260,8.2830515
74261,6.872084
74262,4.7851477
74263,11.136321
74264,9.650569
74265,11.074179
74266,8.140206
74267,10.828369
74268,6.6013284
74269,7.47647
74270,8.197605
74271,10.998089
74272,15.818324
74273,6.70078
74274,13.013833
74275,8.702466
74276,7.753787
74277,8.841682
74278,13.677262
74279,10.533185
74280,11.522969
74281,14.2118435
74282,12.216711
74283,11.288697
74284,7.786424
74285,7.1159844
74286,10.553177
74287,11.151426
74288,11.265598
74289,7.7210183
74290,10.63814
74291,11.540114
74292,8.94373
74293,7.5944963
74294,10.260055
74295,12.954784
74296,10.647166
74297,10.550567
74298,13.617607
74299,11.240815
74300,9.7954645
74301,10.923854
74302,9.751156
74303,9.258972
74304,11.404178
74305,9.1894245
74306,8.763372
74307,7.836715
74308,11.124312
74309,9.682782
74310,15.261123
74311,7.9859424
74312,12.613538
74313,11.174981
74314,10.569518
74315,9.793079
74316,10.249488
74317,9.895327
74318,12.335855
74319,11.832106
74320,7.647212
74321,9.143426
74322,11.938074
74323,11.094353
74324,11.628219
74325,8.563931
74326,9.548363
74327,10.269486
74328,10.576858
74329,9.185155
74330,8.170631
74331,5.532809
74332,10.348624
74333,13.003035
